argmax_fused:6 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:0
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:0
argmax_fused:4 ; argmax_new_frame:0
argmax_fused:4 ; argmax_new_frame:0
argmax_fused:4 ; argmax_new_frame:0
argmax_fused:4 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:0
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:0
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:4
argmax_fused:4 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:4 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:4
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:1 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:1 ; argmax_new_frame:0
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:2 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:1 ; argmax_new_frame:0
argmax_fused:2 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:1 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:5 ; argmax_new_frame:1
argmax_fused:1 ; argmax_new_frame:0
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:5 ; argmax_new_frame:2
argmax_fused:5 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:5 ; argmax_new_frame:2
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:2 ; argmax_new_frame:0
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:3
argmax_fused:1 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:3
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:3
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:0
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:1 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:5 ; argmax_new_frame:4
argmax_fused:2 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:3 ; argmax_new_frame:0
argmax_fused:6 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:3
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:3
argmax_fused:0 ; argmax_new_frame:3
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:2 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:3
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:5 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:3
argmax_fused:0 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:3
argmax_fused:0 ; argmax_new_frame:3
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:3
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:2 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:3
argmax_fused:1 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:5 ; argmax_new_frame:2
argmax_fused:5 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:2 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:1 ; argmax_new_frame:3
argmax_fused:2 ; argmax_new_frame:5
argmax_fused:5 ; argmax_new_frame:4
argmax_fused:5 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:5 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:5 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:3
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:5 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:1 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:1 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:0
argmax_fused:2 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:1 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:1 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:5 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:1 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:4 ; argmax_new_frame:0
argmax_fused:1 ; argmax_new_frame:0
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:1 ; argmax_new_frame:0
argmax_fused:4 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:1
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:4
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:0
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:0
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:6 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:0
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:4 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:4
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:4
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:0
argmax_fused:2 ; argmax_new_frame:0
argmax_fused:4 ; argmax_new_frame:0
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:2 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:4 ; argmax_new_frame:0
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:5 ; argmax_new_frame:4
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:2 ; argmax_new_frame:0
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:4
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:4
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:1 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:4
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:1 ; argmax_new_frame:0
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:1
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:0
argmax_fused:5 ; argmax_new_frame:1
argmax_fused:2 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:5
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:1
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:0 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:4
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:2 ; argmax_new_frame:5
argmax_fused:1 ; argmax_new_frame:0
argmax_fused:2 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:5 ; argmax_new_frame:0
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:0 ; argmax_new_frame:2
argmax_fused:1 ; argmax_new_frame:0
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:2
argmax_fused:4 ; argmax_new_frame:5
argmax_fused:0 ; argmax_new_frame:2
